linha,tipo_cartao,n
393 - MIGUEL ARRAIS/SIQUEI,Vale Transporte,486
394 - Parque Universitario,Estudante,165
394 - Parque Universitario,Gratuidade,38
394 - Parque Universitario,Inteira,191
394 - Parque Universitario,Vale Transporte,330
395 - Sitio Corrego/Parang,Estudante,260
395 - Sitio Corrego/Parang,Gratuidade,38
395 - Sitio Corrego/Parang,Inteira,249
395 - Sitio Corrego/Parang,Vale Transporte,416
397 - Jardim Jatoba 2,Estudante,382
397 - Jardim Jatoba 2,Gratuidade,119
397 - Jardim Jatoba 2,Inteira,606
397 - Jardim Jatoba 2,Vale Transporte,730
398 - CORUJAO/JOSE BASTOS/,Inteira,3
398 - CORUJAO/JOSE BASTOS/,Vale Transporte,4
399 - CIDADE JARDIM/PARANG,Estudante,243
399 - CIDADE JARDIM/PARANG,Gratuidade,79
399 - CIDADE JARDIM/PARANG,Inteira,288
399 - CIDADE JARDIM/PARANG,Vale Transporte,380
39 - Corujao/Av. Bezerra,Estudante,4
39 - Corujao/Av. Bezerra,Inteira,13
39 - Corujao/Av. Bezerra,Vale Transporte,7
3 - TERMINAL PARANGABA,Estudante,3559
3 - TERMINAL PARANGABA,Gratuidade,519
3 - TERMINAL PARANGABA,Inteira,2469
3 - TERMINAL PARANGABA,Vale Transporte,9233
401 - Montese/Parangaba,Estudante,1367
401 - Montese/Parangaba,Gratuidade,465
401 - Montese/Parangaba,Inteira,1254
401 - Montese/Parangaba,Vale Transporte,1646
403 - Parangaba/Centro/Exp,Estudante,710
403 - Parangaba/Centro/Exp,Gratuidade,194
403 - Parangaba/Centro/Exp,Inteira,622
403 - Parangaba/Centro/Exp,Vale Transporte,754
404 - Aeroporto/Benfica/Ro,Estudante,190
404 - Aeroporto/Benfica/Ro,Gratuidade,60
404 - Aeroporto/Benfica/Ro,Inteira,229
404 - Aeroporto/Benfica/Ro,Vale Transporte,357
405 - Pq.Dois Irmaos/Exped,Estudante,1492
405 - Pq.Dois Irmaos/Exped,Gratuidade,482
405 - Pq.Dois Irmaos/Exped,Inteira,1329
405 - Pq.Dois Irmaos/Exped,Vale Transporte,1670
406 - Plan. Ayrton S/Exped,Estudante,1715
406 - Plan. Ayrton S/Exped,Gratuidade,459
406 - Plan. Ayrton S/Exped,Inteira,1728
406 - Plan. Ayrton S/Exped,Vale Transporte,3057
407 - Cj Pref. Jose Walter,Estudante,1986
407 - Cj Pref. Jose Walter,Gratuidade,406
407 - Cj Pref. Jose Walter,Inteira,1319
407 - Cj Pref. Jose Walter,Vale Transporte,2108
411 - Montese/Lagoa,Estudante,767
411 - Montese/Lagoa,Gratuidade,398
411 - Montese/Lagoa,Inteira,837
411 - Montese/Lagoa,Vale Transporte,1069
41 - Parangaba / Olivei,Estudante,3903
41 - Parangaba / Olivei,Gratuidade,538
41 - Parangaba / Olivei,Inteira,4055
41 - Parangaba / Olivei,Vale Transporte,6830
42 - Ant. Bez./Fco sa/Pap,Estudante,2692
42 - Ant. Bez./Fco sa/Pap,Gratuidade,783
42 - Ant. Bez./Fco sa/Pap,Inteira,4037
42 - Ant. Bez./Fco sa/Pap,Vale Transporte,6746
43 - Cj Ceara/Lagoa/F.Tav,Estudante,1052
43 - Cj Ceara/Lagoa/F.Tav,Gratuidade,282
43 - Cj Ceara/Lagoa/F.Tav,Inteira,1143
43 - Cj Ceara/Lagoa/F.Tav,Vale Transporte,1558
44 - Parangaba/Papicu/Mon,Estudante,1894
44 - Parangaba/Papicu/Mon,Gratuidade,584
44 - Parangaba/Papicu/Mon,Inteira,2606
44 - Parangaba/Papicu/Mon,Vale Transporte,5405
456 - Planalto Ayrton Senn,Estudante,1214
456 - Planalto Ayrton Senn,Gratuidade,357
456 - Planalto Ayrton Senn,Inteira,1429
456 - Planalto Ayrton Senn,Vale Transporte,2386
45 - Cj Ceara/Papicu/Mont,Estudante,2687
45 - Cj Ceara/Papicu/Mont,Gratuidade,738
45 - Cj Ceara/Papicu/Mont,Inteira,3100
45 - Cj Ceara/Papicu/Mont,Vale Transporte,7184
466 - Arvoredo/Parangaba,Estudante,855
466 - Arvoredo/Parangaba,Gratuidade,205
466 - Arvoredo/Parangaba,Inteira,775
466 - Arvoredo/Parangaba,Vale Transporte,1488
46 - Corujao/Cj Ceara,Estudante,2
46 - Corujao/Cj Ceara,Inteira,12
46 - Corujao/Cj Ceara,Vale Transporte,27
47 - Corujao/Jose Bastos/,Gratuidade,1
47 - Corujao/Jose Bastos/,Vale Transporte,1
48 - Corujao/Parangaba/Pa,Estudante,2
48 - Corujao/Parangaba/Pa,Inteira,8
48 - Corujao/Parangaba/Pa,Vale Transporte,25
4 - MESSEJANA/PAPICU/CAM,Estudante,539
4 - MESSEJANA/PAPICU/CAM,Gratuidade,133
4 - MESSEJANA/PAPICU/CAM,Inteira,648
4 - MESSEJANA/PAPICU/CAM,Vale Transporte,838
501 - Bairro de Fatima,Estudante,183
501 - Bairro de Fatima,Gratuidade,212
501 - Bairro de Fatima,Inteira,252
501 - Bairro de Fatima,Vale Transporte,338
502 - Vila Uniao,Estudante,1184
502 - Vila Uniao,Gratuidade,411
502 - Vila Uniao,Inteira,965
502 - Vila Uniao,Vale Transporte,1799
503 - Av. 13 de Maio 1,Estudante,143
503 - Av. 13 de Maio 1,Gratuidade,88
503 - Av. 13 de Maio 1,Inteira,138
503 - Av. 13 de Maio 1,Vale Transporte,213
504 - Av. 13 de Maio 2,Estudante,204
504 - Av. 13 de Maio 2,Gratuidade,88
504 - Av. 13 de Maio 2,Inteira,161
504 - Av. 13 de Maio 2,Vale Transporte,248
50 - SIQ/PAP/WS.,Estudante,2256
50 - SIQ/PAP/WS.,Gratuidade,515
50 - SIQ/PAP/WS.,Inteira,3259
50 - SIQ/PAP/WS.,Vale Transporte,5368
513 - PARANGABA/UECE/LUCIA,Estudante,869
513 - PARANGABA/UECE/LUCIA,Gratuidade,49
513 - PARANGABA/UECE/LUCIA,Inteira,195
513 - PARANGABA/UECE/LUCIA,Vale Transporte,470
51 - Grande Circular 1,Estudante,1623
51 - Grande Circular 1,Gratuidade,386
51 - Grande Circular 1,Inteira,2891
51 - Grande Circular 1,Vale Transporte,4333
52 - Grande Circular 2,Estudante,1596
52 - Grande Circular 2,Gratuidade,373
52 - Grande Circular 2,Inteira,2678
52 - Grande Circular 2,Vale Transporte,4022
53 - MES/PAP / WS,Estudante,1053
53 - MES/PAP / WS,Gratuidade,194
53 - MES/PAP / WS,Inteira,1498
53 - MES/PAP / WS,Vale Transporte,2308
54 - Corujao/Praia do Fut,Estudante,4
54 - Corujao/Praia do Fut,Inteira,28
54 - Corujao/Praia do Fut,Vale Transporte,24
55 - Corujao/Grande Circu,Estudante,21
55 - Corujao/Grande Circu,Gratuidade,6
55 - Corujao/Grande Circu,Inteira,115
55 - Corujao/Grande Circu,Vale Transporte,169
56 - Corujao/Grande Circu,Estudante,17
56 - Corujao/Grande Circu,Gratuidade,4
56 - Corujao/Grande Circu,Inteira,83
56 - Corujao/Grande Circu,Vale Transporte,89
57 - Corujao/Jardim Irace,Estudante,6
57 - Corujao/Jardim Irace,Inteira,7
57 - Corujao/Jardim Irace,Vale Transporte,15
58 - Corujao/Jd.Guanabara,Estudante,2
58 - Corujao/Jd.Guanabara,Inteira,4
58 - Corujao/Jd.Guanabara,Vale Transporte,13
59 - Corujao/Av. Sargento,Inteira,16
59 - Corujao/Av. Sargento,Vale Transporte,7
5 - TERMINAL LAGOA,Estudante,520
5 - TERMINAL LAGOA,Gratuidade,105
5 - TERMINAL LAGOA,Inteira,752
5 - TERMINAL LAGOA,Vale Transporte,890
600 - Messejana/Frei Ciril,Estudante,1001
600 - Messejana/Frei Ciril,Gratuidade,84
600 - Messejana/Frei Ciril,Inteira,1203
600 - Messejana/Frei Ciril,Vale Transporte,2455
601 - Aerolandia 1,Estudante,603
601 - Aerolandia 1,Gratuidade,438
601 - Aerolandia 1,Inteira,495
601 - Aerolandia 1,Vale Transporte,1465
602 - Pq.Pio XII/Ana Gonca,Estudante,475
602 - Pq.Pio XII/Ana Gonca,Gratuidade,334
602 - Pq.Pio XII/Ana Gonca,Inteira,440
602 - Pq.Pio XII/Ana Gonca,Vale Transporte,1183
603 - Castelao/Visconde do,Estudante,1238
603 - Castelao/Visconde do,Gratuidade,288
603 - Castelao/Visconde do,Inteira,1191
603 - Castelao/Visconde do,Vale Transporte,2729
604 - Dias Macedo/Cent,Estudante,447
604 - Dias Macedo/Cent,Gratuidade,205
604 - Dias Macedo/Cent,Inteira,483
604 - Dias Macedo/Cent,Vale Transporte,1043
605 - Cj Pref. Jose Walter,Estudante,1046
605 - Cj Pref. Jose Walter,Gratuidade,211
605 - Cj Pref. Jose Walter,Inteira,884
605 - Cj Pref. Jose Walter,Vale Transporte,1897
606 - Cj Pref. Jose Walter,Estudante,960
606 - Cj Pref. Jose Walter,Gratuidade,249
606 - Cj Pref. Jose Walter,Inteira,854
606 - Cj Pref. Jose Walter,Vale Transporte,1883
609 - Cidade Func/Sitio Sa,Estudante,723
609 - Cidade Func/Sitio Sa,Gratuidade,208
609 - Cidade Func/Sitio Sa,Inteira,1023
609 - Cidade Func/Sitio Sa,Vale Transporte,1880
60 - PARQUEL/PARANGABA,Estudante,1444
60 - PARQUEL/PARANGABA,Gratuidade,456
60 - PARQUEL/PARANGABA,Inteira,1090
60 - PARQUEL/PARANGABA,Vale Transporte,1537
610 - Cidade Func/Cj Alvor,Estudante,727
610 - Cidade Func/Cj Alvor,Gratuidade,170
610 - Cidade Func/Cj Alvor,Inteira,744
610 - Cidade Func/Cj Alvor,Vale Transporte,1316
611 - Cidade Func/Cofeco/L,Estudante,283
611 - Cidade Func/Cofeco/L,Gratuidade,85
611 - Cidade Func/Cofeco/L,Inteira,302
611 - Cidade Func/Cofeco/L,Vale Transporte,489
612 - Cj Tancredo Neves/No,Estudante,530
612 - Cj Tancredo Neves/No,Gratuidade,278
612 - Cj Tancredo Neves/No,Inteira,666
612 - Cj Tancredo Neves/No,Vale Transporte,1583
613 - Barroso/Jardim Viole,Estudante,712
613 - Barroso/Jardim Viole,Gratuidade,121
613 - Barroso/Jardim Viole,Inteira,815
613 - Barroso/Jardim Viole,Vale Transporte,1293
615 - Corujao/Paupina/Lago,Inteira,6
615 - Corujao/Paupina/Lago,Vale Transporte,12
616 - Lagoa Redonda 1,Estudante,464
616 - Lagoa Redonda 1,Gratuidade,143
616 - Lagoa Redonda 1,Inteira,597
616 - Lagoa Redonda 1,Vale Transporte,726
617 - Lagoa Redonda/Abreul,Estudante,304
617 - Lagoa Redonda/Abreul,Gratuidade,87
617 - Lagoa Redonda/Abreul,Inteira,549
617 - Lagoa Redonda/Abreul,Vale Transporte,529
618 - Parque Santa Rosa/Me,Estudante,584
618 - Parque Santa Rosa/Me,Gratuidade,116
618 - Parque Santa Rosa/Me,Inteira,770
618 - Parque Santa Rosa/Me,Vale Transporte,1103
619 - Paupina,Estudante,254
619 - Paupina,Gratuidade,62
619 - Paupina,Inteira,208
619 - Paupina,Vale Transporte,287
61 - LINHA CENTRAL,Estudante,32
61 - LINHA CENTRAL,Gratuidade,36
61 - LINHA CENTRAL,Vale Transporte,157
620 - Corujao/Pedras,Estudante,5
620 - Corujao/Pedras,Gratuidade,2
620 - Corujao/Pedras,Inteira,10
620 - Corujao/Pedras,Vale Transporte,29
621 - Pedras 1,Estudante,562
621 - Pedras 1,Gratuidade,116
621 - Pedras 1,Inteira,794
621 - Pedras 1,Vale Transporte,1300
622 - Pedras 2,Estudante,591
622 - Pedras 2,Gratuidade,81
622 - Pedras 2,Inteira,662
622 - Pedras 2,Vale Transporte,1026
625 - Parque Manibura/Borg,Estudante,427
625 - Parque Manibura/Borg,Gratuidade,154
625 - Parque Manibura/Borg,Inteira,434
625 - Parque Manibura/Borg,Vale Transporte,569
626 - Lagoa Redonda 2,Estudante,603
626 - Lagoa Redonda 2,Gratuidade,133
626 - Lagoa Redonda 2,Inteira,736
626 - Lagoa Redonda 2,Vale Transporte,836
627 - LAGOA REDONDA/PAPICU,Estudante,649
627 - LAGOA REDONDA/PAPICU,Gratuidade,125
627 - LAGOA REDONDA/PAPICU,Inteira,817
627 - LAGOA REDONDA/PAPICU,Vale Transporte,1496
628 - Sitio Sao Joao/Parqu,Estudante,543
628 - Sitio Sao Joao/Parqu,Gratuidade,91
628 - Sitio Sao Joao/Parqu,Inteira,472
628 - Sitio Sao Joao/Parqu,Vale Transporte,723
629 - Cj Palmeiras/Perimet,Estudante,816
629 - Cj Palmeiras/Perimet,Gratuidade,195
629 - Cj Palmeiras/Perimet,Inteira,986
629 - Cj Palmeiras/Perimet,Vale Transporte,1557
62 - Corujao/Cj Esperanca,Estudante,2
62 - Corujao/Cj Esperanca,Gratuidade,3
62 - Corujao/Cj Esperanca,Inteira,15
62 - Corujao/Cj Esperanca,Vale Transporte,14
630 - Itamaraty/Elizabeth,Estudante,583
630 - Itamaraty/Elizabeth,Gratuidade,117
630 - Itamaraty/Elizabeth,Inteira,533
630 - Itamaraty/Elizabeth,Vale Transporte,743
631 - Carlos Albuquerque,Estudante,154
631 - Carlos Albuquerque,Gratuidade,29
631 - Carlos Albuquerque,Inteira,284
631 - Carlos Albuquerque,Vale Transporte,709
632 - Alto Alegre/Messejan,Estudante,921
632 - Alto Alegre/Messejan,Gratuidade,222
632 - Alto Alegre/Messejan,Inteira,759
632 - Alto Alegre/Messejan,Vale Transporte,1059
633 - PASSARE / CEN,Estudante,427
633 - PASSARE / CEN,Gratuidade,97
633 - PASSARE / CEN,Inteira,324
633 - PASSARE / CEN,Vale Transporte,538
634 - LAGOA REDONDA/ABREUL,Estudante,102
634 - LAGOA REDONDA/ABREUL,Gratuidade,29
634 - LAGOA REDONDA/ABREUL,Inteira,201
634 - LAGOA REDONDA/ABREUL,Vale Transporte,202
635 - Cj Tamandare,Estudante,292
635 - Cj Tamandare,Gratuidade,98
635 - Cj Tamandare,Inteira,286
635 - Cj Tamandare,Vale Transporte,532
636 - Cj Palmeiras/Parque,Estudante,743
636 - Cj Palmeiras/Parque,Gratuidade,167
636 - Cj Palmeiras/Parque,Inteira,471
636 - Cj Palmeiras/Parque,Vale Transporte,841
637 - Conj. Maria Tomasia/,Estudante,387
637 - Conj. Maria Tomasia/,Gratuidade,58
637 - Conj. Maria Tomasia/,Inteira,348
637 - Conj. Maria Tomasia/,Vale Transporte,447
639 - PLANALTO COACU/MESSE,Estudante,289
639 - PLANALTO COACU/MESSE,Gratuidade,64
639 - PLANALTO COACU/MESSE,Inteira,282
639 - PLANALTO COACU/MESSE,Vale Transporte,374
63 - Corujao/Bom Jardim,Estudante,2
63 - Corujao/Bom Jardim,Inteira,15
63 - Corujao/Bom Jardim,Vale Transporte,26
640 - Alvorada / Messejana,Estudante,489
640 - Alvorada / Messejana,Gratuidade,131
640 - Alvorada / Messejana,Inteira,780
640 - Alvorada / Messejana,Vale Transporte,818
641 - Guajeru I,Estudante,282
641 - Guajeru I,Gratuidade,73
641 - Guajeru I,Inteira,256
641 - Guajeru I,Vale Transporte,418
642 - Guajeru 2,Estudante,267
642 - Guajeru 2,Gratuidade,143
642 - Guajeru 2,Inteira,362
642 - Guajeru 2,Vale Transporte,512
643 - Barroso Circular,Estudante,389
643 - Barroso Circular,Gratuidade,62
643 - Barroso Circular,Inteira,389
643 - Barroso Circular,Vale Transporte,571
644 - LAGOA REDONDA/ABREUL,Estudante,15
644 - LAGOA REDONDA/ABREUL,Gratuidade,1
644 - LAGOA REDONDA/ABREUL,Inteira,10
644 - LAGOA REDONDA/ABREUL,Vale Transporte,24
645 - Cj Joao Paulo II,Estudante,194
645 - Cj Joao Paulo II,Gratuidade,77
645 - Cj Joao Paulo II,Inteira,274
645 - Cj Joao Paulo II,Vale Transporte,401
646 - Cj Sao Cristovao,Estudante,272
646 - Cj Sao Cristovao,Gratuidade,103
646 - Cj Sao Cristovao,Inteira,272
646 - Cj Sao Cristovao,Vale Transporte,434
648 - CIDADE NOBRE/MESSEJA,Estudante,183
648 - CIDADE NOBRE/MESSEJA,Gratuidade,31
648 - CIDADE NOBRE/MESSEJA,Inteira,188
648 - CIDADE NOBRE/MESSEJA,Vale Transporte,373
64 - Corujao/Aeroporto/Be,Gratuidade,1
64 - Corujao/Aeroporto/Be,Inteira,3
64 - Corujao/Aeroporto/Be,Vale Transporte,1
650 - Messejana/Centro/Br,Estudante,1193
650 - Messejana/Centro/Br,Gratuidade,99
650 - Messejana/Centro/Br,Inteira,1260
650 - Messejana/Centro/Br,Vale Transporte,2831
653 - SANTA FE 02,Estudante,349
653 - SANTA FE 02,Gratuidade,85
653 - SANTA FE 02,Inteira,363
653 - SANTA FE 02,Vale Transporte,524
655 - Passare/Messejana,Estudante,389
655 - Passare/Messejana,Gratuidade,107
655 - Passare/Messejana,Inteira,543
655 - Passare/Messejana,Vale Transporte,720
656 - Messejana/Sabiaguaba,Estudante,208
656 - Messejana/Sabiaguaba,Gratuidade,36
656 - Messejana/Sabiaguaba,Inteira,206
656 - Messejana/Sabiaguaba,Vale Transporte,288
657 - MESSEJANA/SABIAGUABA,Estudante,305
657 - MESSEJANA/SABIAGUABA,Gratuidade,101
657 - MESSEJANA/SABIAGUABA,Inteira,389
657 - MESSEJANA/SABIAGUABA,Vale Transporte,555
65 - Corujao/Barroso/Jard,Estudante,1
65 - Corujao/Barroso/Jard,Gratuidade,1
65 - Corujao/Barroso/Jard,Inteira,4
65 - Corujao/Barroso/Jard,Vale Transporte,12
660 - Conjunto palmeiras/C,Estudante,2078
660 - Conjunto palmeiras/C,Gratuidade,675
660 - Conjunto palmeiras/C,Inteira,2530
660 - Conjunto palmeiras/C,Vale Transporte,4938
663 - Gereberaba/ Messejan,Estudante,58
663 - Gereberaba/ Messejan,Gratuidade,14
663 - Gereberaba/ Messejan,Inteira,97
663 - Gereberaba/ Messejan,Vale Transporte,163
665 - Corujao/Messejana/Ce,Gratuidade,1
665 - Corujao/Messejana/Ce,Inteira,7
665 - Corujao/Messejana/Ce,Vale Transporte,13
666 - Jardim Castelao,Estudante,904
666 - Jardim Castelao,Gratuidade,234
666 - Jardim Castelao,Inteira,657
666 - Jardim Castelao,Vale Transporte,1117
66 - Parangaba/Papicu/Aer,Estudante,2401
66 - Parangaba/Papicu/Aer,Gratuidade,366
66 - Parangaba/Papicu/Aer,Inteira,1725
66 - Parangaba/Papicu/Aer,Vale Transporte,3344
670 - Sitio Sao Joao/Centr,Estudante,727
670 - Sitio Sao Joao/Centr,Gratuidade,268
670 - Sitio Sao Joao/Centr,Inteira,862
670 - Sitio Sao Joao/Centr,Vale Transporte,1936
676 - Cj Curio,Estudante,706
676 - Cj Curio,Gratuidade,154
676 - Cj Curio,Inteira,726
676 - Cj Curio,Vale Transporte,1027
67 - LAGOA / ALBERT SABIN,Estudante,171
67 - LAGOA / ALBERT SABIN,Gratuidade,54
67 - LAGOA / ALBERT SABIN,Inteira,191
67 - LAGOA / ALBERT SABIN,Vale Transporte,468
680 - 680-JOSE WALTER / PA,Estudante,1128
680 - 680-JOSE WALTER / PA,Gratuidade,200
680 - 680-JOSE WALTER / PA,Inteira,1227
680 - 680-JOSE WALTER / PA,Vale Transporte,2897
681 - ALAMEDA DAS PALMEIRA,Estudante,315
681 - ALAMEDA DAS PALMEIRA,Gratuidade,69
681 - ALAMEDA DAS PALMEIRA,Inteira,423
681 - ALAMEDA DAS PALMEIRA,Vale Transporte,539
685 - MESSEJANA/RODOVIARIA,Estudante,529
685 - MESSEJANA/RODOVIARIA,Gratuidade,142
685 - MESSEJANA/RODOVIARIA,Inteira,728
685 - MESSEJANA/RODOVIARIA,Vale Transporte,1341
686 - Cj Sao Bernardo,Estudante,266
686 - Cj Sao Bernardo,Gratuidade,89
686 - Cj Sao Bernardo,Inteira,287
686 - Cj Sao Bernardo,Vale Transporte,435
68 - Messej/Pap/Camb,Estudante,256
68 - Messej/Pap/Camb,Gratuidade,34
68 - Messej/Pap/Camb,Inteira,248
68 - Messej/Pap/Camb,Vale Transporte,467
690 - Parque Santa Maria/M,Estudante,232
690 - Parque Santa Maria/M,Gratuidade,31
690 - Parque Santa Maria/M,Inteira,182
690 - Parque Santa Maria/M,Vale Transporte,230
696 - SIT CURIO/MESS,Estudante,499
696 - SIT CURIO/MESS,Gratuidade,146
696 - SIT CURIO/MESS,Inteira,546
696 - SIT CURIO/MESS,Vale Transporte,772
69 - Lagoa/Papicu/Via Exp,Estudante,570
69 - Lagoa/Papicu/Via Exp,Gratuidade,205
69 - Lagoa/Papicu/Via Exp,Inteira,691
69 - Lagoa/Papicu/Via Exp,Vale Transporte,1764
6 - TERMINAL MESSEJANA,Estudante,1655
6 - TERMINAL MESSEJANA,Gratuidade,195
6 - TERMINAL MESSEJANA,Inteira,2212
6 - TERMINAL MESSEJANA,Vale Transporte,2356
701 - Parque Americano,Estudante,255
701 - Parque Americano,Gratuidade,242
701 - Parque Americano,Inteira,289
701 - Parque Americano,Vale Transporte,756
702 - Av. Antonio Sales/Di,Estudante,249
702 - Av. Antonio Sales/Di,Gratuidade,192
702 - Av. Antonio Sales/Di,Inteira,328
702 - Av. Antonio Sales/Di,Vale Transporte,663
703 - PAUPINA/PICI,Estudante,3630
703 - PAUPINA/PICI,Gratuidade,272
703 - PAUPINA/PICI,Inteira,2284
703 - PAUPINA/PICI,Vale Transporte,3726
706 - BARRA DO CEARA/ANTON,Estudante,280
706 - BARRA DO CEARA/ANTON,Gratuidade,38
706 - BARRA DO CEARA/ANTON,Inteira,316
706 - BARRA DO CEARA/ANTON,Vale Transporte,613
709 - CONJ. CEARA/CENTRO,Estudante,1150
709 - CONJ. CEARA/CENTRO,Gratuidade,200
709 - CONJ. CEARA/CENTRO,Inteira,1412
709 - CONJ. CEARA/CENTRO,Vale Transporte,1738
70 - Cuca Barra/Parangaba,Estudante,2313
70 - Cuca Barra/Parangaba,Gratuidade,457
70 - Cuca Barra/Parangaba,Inteira,1426
70 - Cuca Barra/Parangaba,Vale Transporte,2530
710 - CONJ. CEARA/ GRANJA,Estudante,793
710 - CONJ. CEARA/ GRANJA,Gratuidade,102
710 - CONJ. CEARA/ GRANJA,Inteira,1079
710 - CONJ. CEARA/ GRANJA,Vale Transporte,1326
711 - BARRA DO CEARA/ CAIS,Estudante,720
711 - BARRA DO CEARA/ CAIS,Gratuidade,223
711 - BARRA DO CEARA/ CAIS,Inteira,1391
711 - BARRA DO CEARA/ CAIS,Vale Transporte,2769
712 - CONJ. PALMEIRAS/ HOS,Estudante,2557
712 - CONJ. PALMEIRAS/ HOS,Gratuidade,389
712 - CONJ. PALMEIRAS/ HOS,Inteira,3485
712 - CONJ. PALMEIRAS/ HOS,Vale Transporte,5232
713 - SANTOS DUMONT/ PERIM,Estudante,1132
713 - SANTOS DUMONT/ PERIM,Gratuidade,122
713 - SANTOS DUMONT/ PERIM,Inteira,1462
713 - SANTOS DUMONT/ PERIM,Vale Transporte,2585
71 - Antonio Bezerra/Mucu,Estudante,839
71 - Antonio Bezerra/Mucu,Gratuidade,247
71 - Antonio Bezerra/Mucu,Inteira,1372
71 - Antonio Bezerra/Mucu,Vale Transporte,1738
725 - PARQUE ST MARIA/ LIC,Estudante,743
725 - PARQUE ST MARIA/ LIC,Gratuidade,121
725 - PARQUE ST MARIA/ LIC,Inteira,827
725 - PARQUE ST MARIA/ LIC,Vale Transporte,1509
728 - JOSE WALTER/ CENTRO,Estudante,365
728 - JOSE WALTER/ CENTRO,Gratuidade,49
728 - JOSE WALTER/ CENTRO,Inteira,320
728 - JOSE WALTER/ CENTRO,Vale Transporte,483
72 - Antonio Bezerra / Pa,Estudante,1146
72 - Antonio Bezerra / Pa,Gratuidade,197
72 - Antonio Bezerra / Pa,Inteira,1120
72 - Antonio Bezerra / Pa,Vale Transporte,1745
73 - SIQUEIRA/P.IRACEMA,Estudante,1539
73 - SIQUEIRA/P.IRACEMA,Gratuidade,99
73 - SIQUEIRA/P.IRACEMA,Inteira,1930
73 - SIQUEIRA/P.IRACEMA,Vale Transporte,4559
74 - Antonio Bezerra/Unif,Estudante,4287
74 - Antonio Bezerra/Unif,Gratuidade,755
74 - Antonio Bezerra/Unif,Inteira,2987
74 - Antonio Bezerra/Unif,Vale Transporte,5804
752 - CACA E PESCA/ CENTRO,Estudante,1072
752 - CACA E PESCA/ CENTRO,Gratuidade,176
752 - CACA E PESCA/ CENTRO,Inteira,1717
752 - CACA E PESCA/ CENTRO,Vale Transporte,1985
753 - CIDADE 2000/ SARGENT,Estudante,431
753 - CIDADE 2000/ SARGENT,Gratuidade,112
753 - CIDADE 2000/ SARGENT,Inteira,624
753 - CIDADE 2000/ SARGENT,Vale Transporte,1096
754 - GRANJA LISBOA/ GOIAB,Estudante,2061
754 - GRANJA LISBOA/ GOIAB,Gratuidade,433
754 - GRANJA LISBOA/ GOIAB,Inteira,1933
754 - GRANJA LISBOA/ GOIAB,Vale Transporte,3134
755 - CONJ. ALVORADA/ NORT,Estudante,1922
755 - CONJ. ALVORADA/ NORT,Gratuidade,129
755 - CONJ. ALVORADA/ NORT,Inteira,1140
755 - CONJ. ALVORADA/ NORT,Vale Transporte,2320
757 - VILA VELHA/ CENTRO,Estudante,2276
757 - VILA VELHA/ CENTRO,Gratuidade,282
757 - VILA VELHA/ CENTRO,Inteira,2504
757 - VILA VELHA/ CENTRO,Vale Transporte,3290
75 - Campus do Pici/Unifo,Estudante,6788
75 - Campus do Pici/Unifo,Gratuidade,497
75 - Campus do Pici/Unifo,Inteira,2655
75 - Campus do Pici/Unifo,Vale Transporte,5138
762 - Caca e Pesca/Centro/,Estudante,34
762 - Caca e Pesca/Centro/,Gratuidade,3
762 - Caca e Pesca/Centro/,Inteira,61
762 - Caca e Pesca/Centro/,Vale Transporte,51
76 - Cj Ceara/Aldeota,Estudante,2784
76 - Cj Ceara/Aldeota,Gratuidade,644
76 - Cj Ceara/Aldeota,Inteira,3414
76 - Cj Ceara/Aldeota,Vale Transporte,5451
77 - Parangaba/Mucuripe,Estudante,2537
77 - Parangaba/Mucuripe,Gratuidade,548
77 - Parangaba/Mucuripe,Inteira,2791
77 - Parangaba/Mucuripe,Vale Transporte,3737
79 - Antonio Bezerra/Naut,Estudante,1169
79 - Antonio Bezerra/Naut,Gratuidade,337
79 - Antonio Bezerra/Naut,Inteira,1255
79 - Antonio Bezerra/Naut,Vale Transporte,2132
7 - TERMINAL CEARA,Estudante,598
7 - TERMINAL CEARA,Gratuidade,126
7 - TERMINAL CEARA,Inteira,659
7 - TERMINAL CEARA,Vale Transporte,1004
804 - Aldeota,Estudante,711
804 - Aldeota,Gratuidade,287
804 - Aldeota,Inteira,1286
804 - Aldeota,Vale Transporte,1922
806 - Edson Queiroz/Papicu,Estudante,1048
806 - Edson Queiroz/Papicu,Gratuidade,213
806 - Edson Queiroz/Papicu,Inteira,926
806 - Edson Queiroz/Papicu,Vale Transporte,1798
80 - Francisco Sa/Paranga,Estudante,1986
80 - Francisco Sa/Paranga,Gratuidade,532
80 - Francisco Sa/Paranga,Inteira,1683
80 - Francisco Sa/Paranga,Vale Transporte,2755
810 - Papicu/Praia do Futu,Estudante,1179
810 - Papicu/Praia do Futu,Gratuidade,237
810 - Papicu/Praia do Futu,Inteira,1267
810 - Papicu/Praia do Futu,Vale Transporte,1916
814 - Papicu/Castelo Encan,Estudante,271
814 - Papicu/Castelo Encan,Gratuidade,80
814 - Papicu/Castelo Encan,Inteira,453
814 - Papicu/Castelo Encan,Vale Transporte,914
815 - Cidade Func/Papicu/C,Estudante,972
815 - Cidade Func/Papicu/C,Gratuidade,285
815 - Cidade Func/Papicu/C,Inteira,1520
815 - Cidade Func/Papicu/C,Vale Transporte,2681
816 - Edson Queiroz/Centro,Estudante,1575
816 - Edson Queiroz/Centro,Gratuidade,404
